epoch,stage,train_loss,train_acc,val_loss,val_acc,lr
1,stage1_head_only,2.62410494523038,0.41184202781974066,1.847269362375551,0.6488095238095238,0.0005
2,stage1_head_only,2.068048947587756,0.5725020109474015,1.7046524307184052,0.7048872180451128,0.0005
3,stage1_head_only,2.0050306234357684,0.5885111141629554,1.6540186082510124,0.7263471177944862,0.0005
4,stage2_finetune_all,1.5212967472634353,0.7695356182927547,1.1660269988808118,0.9030388471177945,3e-05
5,stage2_finetune_all,1.259538649249761,0.8633536716956701,1.0449037046958332,0.9284147869674185,3e-05
6,stage2_finetune_all,1.1455707252113307,0.9002962468854839,0.9864077411199871,0.9508145363408521,3e-05
7,stage2_finetune_all,1.0734225559612565,0.9236428557415001,0.9433080677998096,0.9608395989974937,3e-05
8,stage2_finetune_all,1.018340250251175,0.9414961448666889,0.9094733376252023,0.9667919799498746,3e-05
9,stage2_finetune_all,0.9824942474084957,0.9514037393812168,0.892991146348174,0.9716478696741855,3e-05
10,stage2_finetune_all,0.9512603355909689,0.9606050499303526,0.8643117880163934,0.9779135338345865,3e-05
11,stage2_finetune_all,0.9293317672143173,0.9657059896804066,0.8546933849951378,0.9776002506265664,3e-05
12,stage2_finetune_all,0.9065814486423878,0.9710619764179631,0.8320935984004411,0.9843358395989975,3e-05
13,stage2_finetune_all,0.8889046176045731,0.9754370132035863,0.82928275628795,0.9827694235588973,3e-05
14,stage2_finetune_all,0.8753252245088339,0.977948245080536,0.8225060432477105,0.9837092731829574,3e-05
15,stage2_finetune_all,0.8601268599821099,0.9816954738969218,0.8081633805631098,0.9866854636591479,3e-05
16,stage2_finetune_all,0.8538482580688052,0.9818916638873084,0.8046398976990453,0.9866854636591479,3e-05
17,stage2_finetune_all,0.8416972099905617,0.9842067057738714,0.8040566523571062,0.9848057644110275,3e-05
18,stage2_finetune_all,0.8316823267950272,0.9859920346863903,0.794917124853397,0.9869987468671679,3e-05
19,stage2_finetune_all,0.8228537619964064,0.9877381256008319,0.7887936261363495,0.9866854636591479,3e-05
20,stage2_finetune_all,0.8182007316278131,0.9876792686037158,0.7879575523816255,0.9865288220551378,3e-05
21,stage2_finetune_all,0.8079586871570136,0.9903082144748975,0.7807163461706692,0.9884085213032582,3e-05
22,stage2_finetune_all,0.8035351222765101,0.9902885954758588,0.7802644376467941,0.9884085213032582,3e-05
23,stage2_finetune_all,0.798630748946059,0.9907202134547095,0.7768515435077792,0.9890350877192983,3e-05
24,stage2_finetune_all,0.7926093596459389,0.9921327813854938,0.7737060961567968,0.9877819548872181,3e-05
25,stage2_finetune_all,0.7891736080230636,0.9918581153989523,0.7714800576219583,0.9885651629072681,3e-05
26,stage2_finetune_all,0.7856016136324803,0.9919758293931844,0.7668776161091071,0.9885651629072681,3e-05
27,stage2_finetune_all,0.781570457214254,0.9927998273528085,0.7615247104400978,0.9891917293233082,3e-05
28,stage2_finetune_all,0.7771354097107684,0.9931137313374272,0.7625631122362047,0.9891917293233082,3e-05
29,stage2_finetune_all,0.7734622061199972,0.9940358242922446,0.7592819345027283,0.9902882205513784,3e-05
30,stage2_finetune_all,0.7716159084476523,0.9940750622903219,0.7616805858480602,0.9877819548872181,3e-05
31,stage2_finetune_all,0.7696350287344281,0.9937611583057032,0.7561903389772975,0.9880952380952381,3e-05
32,stage2_finetune_all,0.7662026649896992,0.9942320142826313,0.7525960057600399,0.9907581453634086,3e-05
33,stage2_finetune_all,0.7644554662153922,0.9942320142826313,0.7534857570079335,0.9904448621553885,3e-05
34,stage2_finetune_all,0.7623392822746158,0.9945262992682113,0.7531189310520813,0.9902882205513784,3e-05
35,stage2_finetune_all,0.7592805130610212,0.9951148692393714,0.7515275966852231,0.9893483709273183,3e-05
36,stage2_finetune_all,0.7603980750930108,0.99395734829609,0.7541593248981581,0.9896616541353384,3e-05
37,stage2_finetune_all,0.7567268306405274,0.9950363932432167,0.7537577158227601,0.987312030075188,3e-05
38,stage2_finetune_all,0.7538208182209672,0.9955857252162995,0.7514676433756835,0.9884085213032582,1.5e-05
