train_loss,train_acc,val_loss,val_acc
3.155163185467401,0.14792958792477068,2.6412274994499385,0.25505942820430455
2.5309585678599196,0.28616446879829793,2.1725689480054275,0.37744940571795693
2.2136002041632623,0.36295939463278537,1.9375225513993406,0.4477995502730485
1.9862769807716127,0.4200638285060517,1.7268385331045,0.5001606167683906
1.8045479669036095,0.4715481423496116,1.562561117928778,0.5473819466752329
1.6475409250430146,0.514602276148612,1.3494429258749947,0.6068101509797623
1.534026805997189,0.5452118584532627,1.2902665171495218,0.624638612271121
1.4284708601672182,0.5729310933140643,1.2501458107486936,0.6334725345326052
1.3489321222634731,0.5948294895726701,1.170625001435558,0.6590106007067138
1.2694807380515016,0.6182132032676984,1.1051913995069589,0.6843880501124318
